moviename,datereleased,genere,rating
The Shawshank Redemption,1994,Drama,80
The Godfather,1972,"Crime, Drama",100
The Dark Knight,2008,"Action, Crime, Drama",84
The Godfather: Part II,1974,"Crime, Drama",90
12 Angry Men,1957,"Crime, Drama",96
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",94
Pulp Fiction,1994,"Crime, Drama",94
Schindler's List,1993,"Biography, Drama, History",94
Inception,2010,"Action, Adventure, Sci-Fi",74
Fight Club,1999,Drama,66
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",92
Forrest Gump,1994,"Drama, Romance",82
"Il buono, il brutto, il cattivo",1966,Western,90
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",87
The Matrix,1999,"Action, Sci-Fi",73
Goodfellas,1990,"Biography, Crime, Drama",90
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",82
One Flew Over the Cuckoo's Nest,1975,Drama,83
Hamilton,2020,"Biography, Drama, History",90
Gisaengchung,2019,"Comedy, Drama, Thriller",96
Soorarai Pottru,2020,Drama,
Interstellar,2014,"Adventure, Drama, Sci-Fi",74
Cidade de Deus,2002,"Crime, Drama",79
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",96
Saving Private Ryan,1998,"Drama, War",91
The Green Mile,1999,"Crime, Drama, Fantasy",61
La vita è bella,1997,"Comedy, Drama, Romance",59
Se7en,1995,"Crime, Drama, Mystery",65
The Silence of the Lambs,1991,"Crime, Drama, Thriller",85
Star Wars,1977,"Action, Adventure, Fantasy",90
Seppuku,1962,"Action, Drama, Mystery",85
Shichinin no samurai,1954,"Action, Adventure, Drama",98
It's a Wonderful Life,1946,"Drama, Family, Fantasy",89
Joker,2019,"Crime, Drama, Thriller",59
Whiplash,2014,"Drama, Music",88
The Intouchables,2011,"Biography, Comedy, Drama",57
The Prestige,2006,"Drama, Mystery, Sci-Fi",66
The Departed,2006,"Crime, Drama, Thriller",85
The Pianist,2002,"Biography, Drama, Music",85
Gladiator,2000,"Action, Adventure, Drama",67
American History X,1998,Drama,62
The Usual Suspects,1995,"Crime, Mystery, Thriller",77
Léon,1994,"Action, Crime, Drama",64
The Lion King,1994,"Animation, Adventure, Drama",88
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",75
Nuovo Cinema Paradiso,1988,"Drama, Romance",80
Hotaru no haka,1988,"Animation, Drama, War",94
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",87
Once Upon a Time in the West,1968,Western,80
Psycho,1960,"Horror, Mystery, Thriller",97
Casablanca,1942,"Drama, Romance, War",100
Modern Times,1936,"Comedy, Drama, Family",96
City Lights,1931,"Comedy, Drama, Romance",99
Capharnaüm,2018,Drama,75
Ayla: The Daughter of War,2017,"Biography, Drama, History",
Vikram Vedha,2017,"Action, Crime, Drama",
Kimi no na wa.,2016,"Animation, Drama, Fantasy",79
Dangal,2016,"Action, Biography, Drama",
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",87
Avengers: Endgame,2019,"Action, Adventure, Drama",78
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",68
Coco,2017,"Animation, Adventure, Family",81
Django Unchained,2012,"Drama, Western",81
The Dark Knight Rises,2012,"Action, Adventure",78
3 Idiots,2009,"Comedy, Drama",67
Taare Zameen Par,2007,"Drama, Family",
WALL·E,2008,"Animation, Adventure, Family",95
The Lives of Others,2006,"Drama, Mystery, Thriller",89
Oldeuboi,2003,"Action, Drama, Mystery",77
Memento,2000,"Mystery, Thriller",80
Mononoke-hime,1997,"Animation, Action, Adventure",76
Once Upon a Time in America,1984,"Crime, Drama",
Raiders of the Lost Ark,1981,"Action, Adventure",85
The Shining,1980,"Drama, Horror",66
Apocalypse Now,1979,"Drama, Mystery, War",94
Alien,1979,"Horror, Sci-Fi",89
Anand,1971,"Drama, Musical",
Tengoku to jigoku,1963,"Crime, Drama, Mystery",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,97
Witness for the Prosecution,1957,"Crime, Drama, Mystery",
Paths of Glory,1957,"Drama, War",90
Rear Window,1954,"Mystery, Thriller",100
Sunset Blvd.,1950,"Drama, Film-Noir",
The Great Dictator,1940,"Comedy, Drama, War",
1917,2019,"Drama, Thriller, War",78
Tumbbad,2018,"Drama, Fantasy, Horror",
Andhadhun,2018,"Crime, Drama, Music",
Drishyam,2013,"Crime, Drama, Thriller",
Jagten,2012,Drama,77
Jodaeiye Nader az Simin,2011,Drama,95
Incendies,2010,"Drama, Mystery, War",80
Miracle in cell NO.7,2019,Drama,
Babam ve Oglum,2005,"Drama, Family",
Inglourious Basterds,2009,"Adventure, Drama, War",69
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",89
Amélie,2001,"Comedy, Romance",69
Snatch,2000,"Comedy, Crime",55
Requiem for a Dream,2000,Drama,68
American Beauty,1999,Drama,84
Good Will Hunting,1997,"Drama, Romance",70
Bacheha-Ye aseman,1997,"Drama, Family, Sport",77
Toy Story,1995,"Animation, Adventure, Comedy",95
Braveheart,1995,"Biography, Drama, History",68
Reservoir Dogs,1992,"Crime, Drama, Thriller",79
Full Metal Jacket,1987,"Drama, War",76
Idi i smotri,1985,"Drama, Thriller, War",
Aliens,1986,"Action, Adventure, Sci-Fi",84
Amadeus,1984,"Biography, Drama, History",88
Scarface,1983,"Crime, Drama",65
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",58
Das Boot,1981,"Adventure, Drama, Thriller",86
Taxi Driver,1976,"Crime, Drama",94
The Sting,1973,"Comedy, Crime, Drama",83
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",77
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",84
Per qualche dollaro in più,1965,Western,74
Lawrence of Arabia,1962,"Adventure, Biography, Drama",100
The Apartment,1960,"Comedy, Drama, Romance",94
North by Northwest,1959,"Adventure, Mystery, Thriller",98
Vertigo,1958,"Mystery, Romance, Thriller",100
Singin' in the Rain,1952,"Comedy, Musical, Romance",99
Ikiru,1952,Drama,
Ladri di biciclette,1948,Drama,
Double Indemnity,1944,"Crime, Drama, Film-Noir",95
Citizen Kane,1941,"Drama, Mystery",100
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",
Metropolis,1927,"Drama, Sci-Fi",98
The Kid,1921,"Comedy, Drama, Family",
Chhichhore,2019,"Comedy, Drama",
Uri: The Surgical Strike,2018,"Action, Drama, War",
K.G.F: Chapter 1,2018,"Action, Drama",
Green Book,2018,"Biography, Comedy, Drama",69
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",88
Talvar,2015,"Crime, Drama, Mystery",
Baahubali 2: The Conclusion,2017,"Action, Drama",
Klaus,2019,"Animation, Adventure, Comedy",65
Drishyam,2015,"Crime, Drama, Mystery",
Queen,2013,"Adventure, Comedy, Drama",
Mandariinid,2013,"Drama, War",73
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",
Gangs of Wasseypur,2012,"Action, Comedy, Crime",89
Udaan,2010,Drama,
Paan Singh Tomar,2012,"Action, Biography, Crime",
El secreto de sus ojos,2009,"Drama, Mystery, Romance",80
Warrior,2011,"Action, Drama, Sport",71
Shutter Island,2010,"Mystery, Thriller",63
Up,2009,"Animation, Adventure, Comedy",88
The Wolf of Wall Street,2013,"Biography, Crime, Drama",75
Chak De! India,2007,"Drama, Family, Sport",68
There Will Be Blood,2007,Drama,93
Pan's Labyrinth,2006,"Drama, Fantasy, War",98
Toy Story 3,2010,"Animation, Adventure, Comedy",92
V for Vendetta,2005,"Action, Drama, Sci-Fi",62
Rang De Basanti,2006,"Comedy, Crime, Drama",
Black,2005,Drama,
Batman Begins,2005,"Action, Adventure",70
"Swades: We, the People",2004,Drama,
Der Untergang,2004,"Biography, Drama, History",82
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",80
A Beautiful Mind,2001,"Biography, Drama",72
Hera Pheri,2000,"Action, Comedy, Crime",
"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",66
L.A. Confidential,1997,"Crime, Drama, Mystery",90
Eskiya,1996,"Crime, Drama, Thriller",
Heat,1995,"Crime, Drama, Thriller",76
Casino,1995,"Crime, Drama",73
Andaz Apna Apna,1994,"Action, Comedy, Romance",
Unforgiven,1992,"Drama, Western",85
Indiana Jones and the Last Crusade,1989,"Action, Adventure",65
Dom za vesanje,1988,"Comedy, Crime, Drama",
Tonari no Totoro,1988,"Animation, Family, Fantasy",86
Die Hard,1988,"Action, Thriller",72
Ran,1985,"Action, Drama, War",96
Raging Bull,1980,"Biography, Drama, Sport",89
Stalker,1979,"Drama, Sci-Fi",
Höstsonaten,1978,"Drama, Music",
The Message,1976,"Biography, Drama, History",
Sholay,1975,"Action, Adventure, Comedy",
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91
The Great Escape,1963,"Adventure, Drama, History",86
To Kill a Mockingbird,1962,"Crime, Drama",88
Yôjinbô,1961,"Action, Drama, Thriller",
Judgment at Nuremberg,1961,"Drama, War",60
Some Like It Hot,1959,"Comedy, Music, Romance",98
Smultronstället,1957,"Drama, Romance",88
Det sjunde inseglet,1957,"Drama, Fantasy, History",88
Du rififi chez les hommes,1955,"Crime, Drama, Thriller",97
Dial M for Murder,1954,"Crime, Thriller",75
Tôkyô monogatari,1953,Drama,
Rashômon,1950,"Crime, Drama, Mystery",98
All About Eve,1950,Drama,98
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",98
To Be or Not to Be,1942,"Comedy, War",86
The Gold Rush,1925,"Adventure, Comedy, Drama",
Sherlock Jr.,1924,"Action, Comedy, Romance",
Portrait de la jeune fille en feu,2019,"Drama, Romance",95
Pink,2016,"Drama, Thriller",
Koe no katachi,2016,"Animation, Drama, Family",78
Contratiempo,2016,"Crime, Drama, Mystery",
Ah-ga-ssi,2016,"Drama, Romance, Thriller",84
Mommy,2014,Drama,74
Haider,2014,"Action, Crime, Drama",
Logan,2017,"Action, Drama, Sci-Fi",77
Room,2015,"Drama, Thriller",86
Relatos salvajes,2014,"Comedy, Drama, Thriller",77
Soul,2020,"Animation, Adventure, Comedy",83
Kis Uykusu,2014,Drama,88
PK,2014,"Comedy, Drama, Musical",
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",88
Gone Girl,2014,"Drama, Mystery, Thriller",79
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",71
Hacksaw Ridge,2016,"Biography, Drama, History",71
Inside Out,2015,"Animation, Adventure, Comedy",94
Barfi!,2012,"Comedy, Drama, Romance",
12 Years a Slave,2013,"Biography, Drama, History",96
Rush,2013,"Action, Biography, Drama",74
Ford v Ferrari,2019,"Action, Biography, Drama",81
Spotlight,2015,"Biography, Crime, Drama",93
Song of the Sea,2014,"Animation, Adventure, Drama",85
Kahaani,2012,"Mystery, Thriller",
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",
Prisoners,2013,"Crime, Drama, Mystery",70
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",90
A Wednesday,2008,"Action, Crime, Drama",
Gran Torino,2008,Drama,72
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",85
Okuribito,2008,"Drama, Music",68
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",
Mary and Max,2009,"Animation, Comedy, Drama",
How to Train Your Dragon,2010,"Animation, Action, Adventure",75
Into the Wild,2007,"Adventure, Biography, Drama",73
No Country for Old Men,2007,"Crime, Drama, Thriller",91
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",
Million Dollar Baby,2004,"Drama, Sport",86
Hotel Rwanda,2004,"Biography, Drama, History",79
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",64
Before Sunset,2004,"Drama, Romance",90
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",
Salinui chueok,2003,"Crime, Drama, Mystery",82
Dil Chahta Hai,2001,"Comedy, Drama, Romance",
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",69
Finding Nemo,2003,"Animation, Adventure, Comedy",90
Catch Me If You Can,2002,"Biography, Crime, Drama",75
Amores perros,2000,"Drama, Thriller",83
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",79
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"Animation, Action, Drama",
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",84
The Sixth Sense,1999,"Drama, Mystery, Thriller",64
La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance",58
The Truman Show,1998,"Comedy, Drama",90
"Crna macka, beli macor",1998,"Comedy, Crime, Romance",73
The Big Lebowski,1998,"Comedy, Crime, Sport",71
Fa yeung nin wah,2000,"Drama, Romance",85
Trainspotting,1996,Drama,83
Fargo,1996,"Crime, Drama, Thriller",85
Underground,1995,"Comedy, Drama, War",
La haine,1995,"Crime, Drama",
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",
Before Sunrise,1995,"Drama, Romance",77
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance",100
Chung Hing sam lam,1994,"Comedy, Crime, Drama",77
Jurassic Park,1993,"Action, Adventure, Sci-Fi",68
In the Name of the Father,1993,"Biography, Crime, Drama",84
Ba wang bie ji,1993,"Drama, Music, Romance",
Dà hóng denglong gaogao guà,1991,"Drama, History, Romance",
Dead Poets Society,1989,"Comedy, Drama",79
Stand by Me,1986,"Adventure, Drama",75
Platoon,1986,"Drama, War",92
"Paris, Texas",1984,Drama,78
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",86
The Thing,1982,"Horror, Mystery, Sci-Fi",57
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",47
Fitzcarraldo,1982,"Adventure, Drama",
Fanny och Alexander,1982,Drama,100
Blade Runner,1982,"Action, Sci-Fi, Thriller",84
The Elephant Man,1980,"Biography, Drama",78
Life of Brian,1979,Comedy,77
The Deer Hunter,1978,"Drama, War",86
Rocky,1976,"Drama, Sport",70
Network,1976,Drama,83
Barry Lyndon,1975,"Adventure, Drama, History",89
Zerkalo,1975,"Biography, Drama",
Chinatown,1974,"Drama, Mystery, Thriller",92
Paper Moon,1973,"Comedy, Crime, Drama",77
Viskningar och rop,1972,Drama,
Solaris,1972,"Drama, Mystery, Sci-Fi",90
Le samouraï,1967,"Crime, Drama, Mystery",
Cool Hand Luke,1967,"Crime, Drama",92
Persona,1966,"Drama, Thriller",86
Andrei Rublev,1966,"Biography, Drama, History",
La battaglia di Algeri,1966,"Drama, War",96
El ángel exterminador,1962,"Drama, Fantasy",
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",75
Sanjuro,1962,"Action, Comedy, Crime",
The Man Who Shot Liberty Valance,1962,"Drama, Western",94
Ivanovo detstvo,1962,"Drama, War",
Jungfrukällan,1960,Drama,
Inherit the Wind,1960,"Biography, Drama, History",75
Les quatre cents coups,1959,"Crime, Drama",
Ben-Hur,1959,"Adventure, Drama, History",90
Kakushi-toride no san-akunin,1958,"Adventure, Drama",
Le notti di Cabiria,1957,Drama,
Kumonosu-jô,1957,"Drama, History",
The Bridge on the River Kwai,1957,"Adventure, Drama, War",87
On the Waterfront,1954,"Crime, Drama, Thriller",91
Le salaire de la peur,1953,"Adventure, Drama, Thriller",85
Ace in the Hole,1951,"Drama, Film-Noir",72
White Heat,1949,"Action, Crime, Drama",
The Third Man,1949,"Film-Noir, Mystery, Thriller",97
The Red Shoes,1948,"Drama, Music, Romance",
The Shop Around the Corner,1940,"Comedy, Drama, Romance",96
Rebecca,1940,"Drama, Mystery, Romance",86
Mr. Smith Goes to Washington,1939,"Comedy, Drama",73
Gone with the Wind,1939,"Drama, History, Romance",97
La Grande Illusion,1937,"Drama, War",
It Happened One Night,1934,"Comedy, Romance",87
La passion de Jeanne d'Arc,1928,"Biography, Drama, History",
The Circus,1928,"Comedy, Romance",90
Sunrise: A Song of Two Humans,1927,"Drama, Romance",
The General,1926,"Action, Adventure, Comedy",
Das Cabinet des Dr. Caligari,1920,"Fantasy, Horror, Mystery",
Badhaai ho,2018,"Comedy, Drama",
Togo,2019,"Adventure, Biography, Drama",69
Airlift,2016,"Drama, History",
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",
Baby,2015,"Action, Crime, Thriller",
La La Land,2016,"Comedy, Drama, Music",94
Lion,2016,"Biography, Drama",69
The Martian,2015,"Adventure, Drama, Sci-Fi",80
Zootopia,2016,"Animation, Adventure, Comedy",78
Bãhubali: The Beginning,2015,"Action, Drama",
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",89
Wonder,2017,"Drama, Family",66
Gully Boy,2019,"Drama, Music, Romance",65
Special Chabbis,2013,"Crime, Drama, Thriller",
Short Term 12,2013,Drama,82
Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller",71
The Imitation Game,2014,"Biography, Drama, Thriller",73
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",76
Blade Runner 2049,2017,"Action, Drama, Mystery",81
Her,2013,"Drama, Romance, Sci-Fi",90
Bohemian Rhapsody,2018,"Biography, Drama, Music",49
The Revenant,2015,"Action, Adventure, Drama",76
The Perks of Being a Wallflower,2012,"Drama, Romance",67
Tropa de Elite 2: O Inimigo Agora é Outro,2010,"Action, Crime, Drama",71
The King's Speech,2010,"Biography, Drama, History",88
The Help,2011,Drama,62
Deadpool,2016,"Action, Adventure, Comedy",65
Darbareye Elly,2009,"Drama, Mystery",87
Dev.D,2009,"Drama, Romance",
Yip Man,2008,"Action, Biography, Drama",59
My Name Is Khan,2010,Drama,50
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",
Slumdog Millionaire,2008,"Drama, Romance",84
Black Swan,2010,"Drama, Thriller",79
Tropa de Elite,2007,"Action, Crime, Drama",33
The Avengers,2012,"Action, Adventure, Sci-Fi",69
Persepolis,2007,"Animation, Biography, Drama",90
Dallas Buyers Club,2013,"Biography, Drama",80
The Pursuit of Happyness,2006,"Biography, Drama",64
Blood Diamond,2006,"Adventure, Drama, Thriller",64
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",85
Bin-jip,2004,"Crime, Drama, Romance",72
Sin City,2005,"Crime, Thriller",74
Le scaphandre et le papillon,2007,"Biography, Drama", only his left eye isn't paralyzed.
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",
Ratatouille,2007,"Animation, Adventure, Comedy",96
Casino Royale,2006,"Action, Adventure, Thriller",80
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",83
Vozvrashchenie,2003,Drama,82
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,"Drama, Romance",85
Mar adentro,2014,"Biography, Drama",74
Cinderella Man,2005,"Biography, Drama, History",69
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",54
Mou gaan dou,2002,"Action, Crime, Drama",75
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",63
Big Fish,2003,"Adventure, Drama, Fantasy",58
The Incredibles,2004,"Animation, Action, Adventure",90
Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance",
Dogville,2003,"Crime, Drama",60
Vizontele,2001,"Comedy, Drama",
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",88
Magnolia,1999,Drama,77
Dancer in the Dark,2000,"Crime, Drama, Musical",61
The Straight Story,1999,"Biography, Drama",86
Pâfekuto burû,1997,"Animation, Crime, Mystery",
Festen,1998,Drama,82
Central do Brasil,1998,Drama,80
The Iron Giant,1999,"Animation, Action, Adventure",85
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",
Sling Blade,1996,Drama,84
Secrets & Lies,1996,"Comedy, Drama",91
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",74
Kôkaku Kidôtai,1995,"Animation, Action, Crime",76
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",82
Groundhog Day,1993,"Comedy, Fantasy, Romance",72
Bound by Honor,1993,"Crime, Drama",47
Scent of a Woman,1992,Drama,59
Aladdin,1992,"Animation, Adventure, Comedy",86
JFK,1991,"Drama, History, Thriller",72
Beauty and the Beast,1991,"Animation, Family, Fantasy",95
Dances with Wolves,1990,"Adventure, Drama, Western",72
Do the Right Thing,1989,"Comedy, Drama",93
Rain Man,1988,Drama, they travel cross-country.
Akira,1988,"Animation, Action, Sci-Fi",
The Princess Bride,1987,"Adventure, Family, Fantasy",77
Der Himmel über Berlin,1987,"Drama, Fantasy, Romance",79
Au revoir les enfants,1987,"Drama, War",88
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",78
The Terminator,1984,"Action, Sci-Fi",84
Gandhi,1982,"Biography, Drama, History",79
Kagemusha,1980,"Drama, History, War",84
Being There,1979,"Comedy, Drama",83
Annie Hall,1977,"Comedy, Romance",92
Jaws,1975,"Adventure, Thriller",87
Dog Day Afternoon,1975,"Biography, Crime, Drama",86
Young Frankenstein,1974,Comedy,80
Papillon,1973,"Biography, Crime, Drama",58
The Exorcist,1973,Horror,81
Sleuth,1972,"Mystery, Thriller",
The Last Picture Show,1971,"Drama, Romance",93
Fiddler on the Roof,1971,"Drama, Family, Musical",67
Il conformista,1970,Drama,100
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",66
Rosemary's Baby,1968,"Drama, Horror",96
Planet of the Apes,1968,"Adventure, Sci-Fi",79
The Graduate,1967,"Comedy, Drama, Romance",83
Who's Afraid of Virginia Woolf?,1966,Drama,75
The Sound of Music,1965,"Biography, Drama, Family",63
Doctor Zhivago,1965,"Drama, Romance, War",69
Per un pugno di dollari,1964,"Action, Drama, Western",65
8½,1963,Drama,91
Vivre sa vie: Film en douze tableaux,1962,Drama,
The Hustler,1961,"Drama, Sport",90
La dolce vita,1960,"Comedy, Drama",95
Rio Bravo,1959,"Action, Drama, Western",93
Anatomy of a Murder,1959,"Crime, Drama, Mystery",95
Touch of Evil,1958,"Crime, Drama, Film-Noir",99
Cat on a Hot Tin Roof,1958,Drama,84
Sweet Smell of Success,1957,"Drama, Film-Noir",100
The Killing,1956,"Crime, Drama, Film-Noir",91
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",99
La Strada,1954,Drama,
Les diaboliques,1955,"Crime, Drama, Horror",
Stalag 17,1953,"Comedy, Drama, War",84
Roman Holiday,1953,"Comedy, Romance",78
A Streetcar Named Desire,1951,Drama,97
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",
Kind Hearts and Coronets,1949,"Comedy, Crime",
Rope,1948,"Crime, Drama, Mystery",73
Out of the Past,1947,"Crime, Drama, Film-Noir",
Brief Encounter,1945,"Drama, Romance",92
Laura,1944,"Drama, Film-Noir, Mystery",
The Best Years of Our Lives,1946,"Drama, Romance, War",93
Arsenic and Old Lace,1942,"Comedy, Crime, Thriller",
The Maltese Falcon,1941,"Film-Noir, Mystery",96
The Grapes of Wrath,1940,"Drama, History",96
The Wizard of Oz,1939,"Adventure, Family, Fantasy",92
La règle du jeu,1939,"Comedy, Drama",
The Thin Man,1934,"Comedy, Crime, Mystery",86
All Quiet on the Western Front,1930,"Drama, War",91
Bronenosets Potemkin,1925,"Drama, History, Thriller",97
Knives Out,2019,"Comedy, Crime, Drama",82
Dil Bechara,2020,"Comedy, Drama, Romance",
Manbiki kazoku,2018,"Crime, Drama",93
Marriage Story,2019,"Comedy, Drama, Romance",94
Call Me by Your Name,2017,"Drama, Romance",93
"I, Daniel Blake",2016,Drama,78
Isle of Dogs,2018,"Animation, Adventure, Comedy",82
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",81
Captain Fantastic,2016,"Comedy, Drama",72
Sing Street,2016,"Comedy, Drama, Music",79
Thor: Ragnarok,2017,"Action, Adventure, Comedy",74
Nightcrawler,2014,"Crime, Drama, Thriller",76
Jojo Rabbit,2019,"Comedy, Drama, War",58
Arrival,2016,"Drama, Sci-Fi",81
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",80
Before Midnight,2013,"Drama, Romance",94
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",75
Bir Zamanlar Anadolu'da,2011,"Crime, Drama",82
The Artist,2011,"Comedy, Drama, Romance",89
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",71
Amour,2012,"Drama, Romance",94
The Irishman,2019,"Biography, Crime, Drama",94
Un prophète,2009,"Crime, Drama",90
Moon,2009,"Drama, Mystery, Sci-Fi",67
Låt den rätte komma in,2008,"Crime, Drama, Fantasy",82
District 9,2009,"Action, Sci-Fi, Thriller",81
The Wrestler,2008,"Drama, Sport",80
Jab We Met,2007,"Comedy, Drama, Romance",
Boyhood,2014,Drama,100
"4 luni, 3 saptamâni si 2 zile",2007,Drama,97
Star Trek,2009,"Action, Adventure, Sci-Fi",82
In Bruges,2008,"Comedy, Crime, Drama",67
The Man from Earth,2007,"Drama, Fantasy, Mystery",
Letters from Iwo Jima,2006,"Action, Adventure, Drama",89
The Fall,2006,"Adventure, Drama, Fantasy",64
Life of Pi,2012,"Adventure, Drama, Fantasy",79
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",83
C.R.A.Z.Y.,2005,"Comedy, Drama",81
Les choristes,2004,"Drama, Music",56
Iron Man,2008,"Action, Adventure, Sci-Fi",79
Shaun of the Dead,2004,"Comedy, Horror",76
Gegen die Wand,2004,"Drama, Romance",78
