moviename,datereleased,genere,rating
Mystic River,2003,"Crime, Drama, Mystery",84
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",82
Ying xiong,2002,"Action, Adventure, History",85
Hable con ella,2002,"Drama, Mystery, Romance",86
No Man's Land,2001,"Comedy, Drama, War",84
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",61
The Bourne Identity,2002,"Action, Mystery, Thriller",68
Nueve reinas,2000,"Crime, Drama, Thriller",80
Children of Men,2006,"Adventure, Drama, Sci-Fi",84
Almost Famous,2000,"Adventure, Comedy, Drama",90
Mulholland Dr.,2001,"Drama, Mystery, Thriller",85
Toy Story 2,1999,"Animation, Adventure, Comedy",88
Boogie Nights,1997,Drama,85
Mimi wo sumaseba,1995,"Animation, Drama, Family",75
Once Were Warriors,1994,"Crime, Drama",77
True Romance,1993,"Crime, Drama, Romance",59
Trois couleurs: Bleu,1993,"Drama, Music, Mystery",85
Jûbê ninpûchô,1993,"Animation, Action, Adventure",
Carlito's Way,1993,"Crime, Drama, Thriller",65
Edward Scissorhands,1990,"Drama, Fantasy, Romance",74
My Left Foot: The Story of Christy Brown,1989,"Biography, Drama",97
Crimes and Misdemeanors,1989,"Comedy, Drama",77
The Untouchables,1987,"Crime, Drama, Thriller",79
Hannah and Her Sisters,1986,"Comedy, Drama",90
Brazil,1985,"Drama, Sci-Fi",84
This Is Spinal Tap,1984,"Comedy, Music",92
A Christmas Story,1983,"Comedy, Family",77
The Blues Brothers,1980,"Action, Adventure, Comedy",60
Manhattan,1979,"Comedy, Drama, Romance",83
All That Jazz,1979,"Drama, Music, Musical",72
Dawn of the Dead,1978,"Action, Adventure, Horror",71
All the President's Men,1976,"Biography, Drama, History",84
La montaña sagrada,1973,"Adventure, Drama, Fantasy",76
Amarcord,1973,"Comedy, Drama, Family",
Le charme discret de la bourgeoisie,1972,Comedy,93
"Aguirre, der Zorn Gottes",1972,"Action, Adventure, Biography",
Harold and Maude,1971,"Comedy, Drama, Romance",62
Patton,1970,"Biography, Drama, War",91
The Wild Bunch,1969,"Action, Adventure, Western",97
Night of the Living Dead,1968,"Horror, Thriller",89
The Lion in Winter,1968,"Biography, Drama, History",
In the Heat of the Night,1967,"Crime, Drama, Mystery",75
Charade,1963,"Comedy, Mystery, Romance",83
The Manchurian Candidate,1962,"Drama, Thriller",94
Spartacus,1960,"Adventure, Biography, Drama",87
L'avventura,1960,"Drama, Mystery",
Hiroshima mon amour,1959,"Drama, Romance",
The Ten Commandments,1956,"Adventure, Drama",
The Searchers,1956,"Adventure, Drama, Western",94
East of Eden,1955,Drama,72
High Noon,1952,"Drama, Thriller, Western",89
Strangers on a Train,1951,"Crime, Film-Noir, Thriller",88
Harvey,1950,"Comedy, Drama, Fantasy",
Miracle on 34th Street,1947,"Comedy, Drama, Family",88
Notorious,1946,"Drama, Film-Noir, Romance",100
The Big Sleep,1946,"Crime, Film-Noir, Mystery",
The Lost Weekend,1945,"Drama, Film-Noir",
The Philadelphia Story,1940,"Comedy, Romance",96
His Girl Friday,1940,"Comedy, Drama, Romance",
The Adventures of Robin Hood,1938,"Action, Adventure, Romance",97
A Night at the Opera,1935,"Comedy, Music, Musical",
King Kong,1933,"Adventure, Horror, Sci-Fi",90
Freaks,1932,"Drama, Horror",80
Nosferatu,1922,"Fantasy, Horror",
The Gentlemen,2019,"Action, Comedy, Crime",51
Raazi,2018,"Action, Drama, Thriller",
Sound of Metal,2019,"Drama, Music",81
Forushande,2016,Drama,85
Dunkirk,2017,"Action, Drama, History",94
Perfetti sconosciuti,2016,"Comedy, Drama",
Hidden Figures,2016,"Biography, Drama, History",74
Paddington 2,2017,"Adventure, Comedy, Family",88
Udta Punjab,2016,"Action, Crime, Drama",
Kubo and the Two Strings,2016,"Animation, Action, Adventure",84
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",
Manchester by the Sea,2016,Drama,96
Under sandet,2015,"Drama, History, War",75
Rogue One,2016,"Action, Adventure, Sci-Fi",65
Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",75
The Hateful Eight,2015,"Crime, Drama, Mystery",68
Little Women,2019,"Drama, Romance",91
Loving Vincent,2017,"Animation, Biography, Crime",62
Pride,2014,"Biography, Comedy, Drama",79
Le passé,2013,"Drama, Mystery",85
La grande bellezza,2013,Drama,86
The Lunchbox,2013,"Drama, Romance",76
Vicky Donor,2012,"Comedy, Romance",
Big Hero 6,2014,"Animation, Action, Adventure",74
About Time,2013,"Comedy, Drama, Fantasy",55
English Vinglish,2012,"Comedy, Drama, Family",
Kaze tachinu,2013,"Animation, Biography, Drama",83
Toy Story 4,2019,"Animation, Adventure, Comedy",84
La migliore offerta,2013,"Crime, Drama, Mystery",49
Moonrise Kingdom,2012,"Comedy, Drama, Romance",84
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",76
The Big Short,2015,"Biography, Comedy, Drama",81
Kokuhaku,2010,"Drama, Thriller",
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",67
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",71
Captain Phillips,2013,"Adventure, Biography, Crime",82
Ajeossi,2010,"Action, Crime, Drama",
Straight Outta Compton,2015,"Biography, Drama, History",72
Madeo,2009,"Crime, Drama, Mystery",79
Chugyeokja,2008,"Action, Crime, Thriller",64
The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",66
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",82
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",76
The Trial of the Chicago 7,2020,"Drama, History, Thriller",77
Druk,2020,"Comedy, Drama",81
The Fighter,2010,"Biography, Drama, Sport",79
Taken,2008,"Action, Thriller",51
The Boy in the Striped Pyjamas,2008,"Drama, History, War",55
Once,2007,"Drama, Music, Romance",88
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",58
Auf der anderen Seite,2007,Drama,85
Atonement,2007,"Drama, Mystery, Romance",85
Drive,2011,"Crime, Drama",78
American Gangster,2007,"Biography, Crime, Drama",76
Avatar,2009,"Action, Adventure, Fantasy",83
Mr. Nobody,2009,"Drama, Fantasy, Romance",63
Apocalypto,2006,"Action, Adventure, Drama",68
Little Miss Sunshine,2006,"Comedy, Drama",80
Hot Fuzz,2007,"Action, Comedy, Mystery",81
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",70
Veer-Zaara,2004,"Drama, Family, Musical",67
Adams æbler,2005,"Comedy, Crime, Drama",51
Pride & Prejudice,2005,"Drama, Romance",82
The World's Fastest Indian,2005,"Biography, Drama, Sport",68
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",73
Serenity,2005,"Action, Adventure, Sci-Fi",74
Walk the Line,2005,"Biography, Drama, Music",72
Ondskan,2003,Drama,61
The Notebook,2004,"Drama, Romance",53
Diarios de motocicleta,2004,"Adventure, Biography, Drama",75
Lilja 4-ever,2002,"Crime, Drama",82
Les triplettes de Belleville,2003,"Animation, Comedy, Drama",91
Gongdong gyeongbi guyeok JSA,2000,"Action, Drama, Thriller",58
The Count of Monte Cristo,2002,"Action, Adventure, Drama",61
Waking Life,2001,"Animation, Drama, Fantasy",83
Remember the Titans,2000,"Biography, Drama, Sport",48
Wo hu cang long,2000,"Action, Adventure, Fantasy",94
Todo sobre mi madre,1999,Drama,87
Cast Away,2000,"Adventure, Drama, Romance",73
The Boondock Saints,1999,"Action, Crime, Thriller",44
The Insider,1999,"Biography, Drama, Thriller",84
October Sky,1999,"Biography, Drama, Family",71
Shrek,2001,"Animation, Adventure, Comedy",84
Titanic,1997,"Drama, Romance",75
Hana-bi,1997,"Crime, Drama, Romance",
Gattaca,1997,"Drama, Sci-Fi, Thriller",64
The Game,1997,"Action, Drama, Mystery",61
Breaking the Waves,1996,Drama,76
Ed Wood,1994,"Biography, Comedy, Drama",70
What's Eating Gilbert Grape,1993,Drama,73
Tombstone,1993,"Action, Biography, Drama",50
The Sandlot,1993,"Comedy, Drama, Family",55
The Remains of the Day,1993,"Drama, Romance",84
Naked,1993,"Comedy, Drama",84
The Fugitive,1993,"Action, Crime, Drama",87
A Bronx Tale,1993,"Crime, Drama, Romance",80
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",
Lat sau san taam,1992,"Action, Crime, Thriller",
Night on Earth,1991,"Comedy, Drama",68
La double vie de Véronique,1991,"Drama, Fantasy, Music",86
Boyz n the Hood,1991,"Crime, Drama",76
Misery,1990,"Drama, Thriller",75
Awakenings,1990,"Biography, Drama",74
Majo no takkyûbin,1989,"Animation, Adventure, Drama",83
Glory,1989,"Biography, Drama, History",78
Dip huet seung hung,1989,"Action, Crime, Drama",82
Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",57
Mississippi Burning,1988,"Crime, Drama, History",65
Predator,1987,"Action, Adventure, Sci-Fi",45
Evil Dead II,1987,"Action, Comedy, Fantasy",72
Ferris Bueller's Day Off,1986,Comedy,61
Down by Law,1986,"Comedy, Crime, Drama",75
The Goonies,1985,"Adventure, Comedy, Family",62
The Color Purple,1985,Drama,78
The Breakfast Club,1985,"Comedy, Drama",66
The Killing Fields,1984,"Biography, Drama, History",76
Ghostbusters,1984,"Action, Comedy, Fantasy",71
The Right Stuff,1983,"Adventure, Biography, Drama",91
The King of Comedy,1982,"Comedy, Crime, Drama",73
E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",91
Kramer vs. Kramer,1979,Drama,77
Days of Heaven,1978,"Drama, Romance",93
The Outlaw Josey Wales,1976,Western,69
The Man Who Would Be King,1975,"Adventure, History, War",91
The Conversation,1974,"Drama, Mystery, Thriller",85
La planète sauvage,1973,"Animation, Sci-Fi",73
The Day of the Jackal,1973,"Crime, Drama, Thriller",80
Badlands,1973,"Action, Crime, Drama",93
Cabaret,1972,"Drama, Music, Musical",80
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",67
Midnight Cowboy,1969,Drama,79
Wait Until Dark,1967,Thriller,81
Guess Who's Coming to Dinner,1967,"Comedy, Drama",63
Bonnie and Clyde,1967,"Action, Biography, Crime",86
My Fair Lady,1964,"Drama, Family, Musical",95
Mary Poppins,1964,"Comedy, Family, Fantasy",88
The Longest Day,1962,"Action, Drama, History",75
Jules et Jim,1962,"Drama, Romance",97
The Innocents,1961,Horror,88
À bout de souffle,1960,"Crime, Drama",
Red River,1948,"Action, Adventure, Drama",
Key Largo,1948,"Action, Crime, Drama",
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",
Shadow of a Doubt,1943,"Film-Noir, Thriller",94
Stagecoach,1939,"Adventure, Drama, Western",93
The Lady Vanishes,1938,"Mystery, Thriller",98
Bringing Up Baby,1938,"Comedy, Family, Romance",91
Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi",95
Duck Soup,1933,"Comedy, Musical, War",93
Scarface: The Shame of the Nation,1932,"Action, Crime, Drama",87
Frankenstein,1931,"Drama, Horror, Sci-Fi",91
Roma,2018,Drama,96
God's Own Country,2017,"Drama, Romance",85
Deadpool 2,2018,"Action, Adventure, Comedy",66
Wind River,2017,"Crime, Drama, Mystery",73
Get Out,2017,"Horror, Mystery, Thriller",85
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",86
En man som heter Ove,2015,"Comedy, Drama, Romance",70
What We Do in the Shadows,2014,"Comedy, Horror",76
Omoide no Mânî,2014,"Animation, Drama, Family",72
The Theory of Everything,2014,"Biography, Drama, Romance",72
Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",60
The Fault in Our Stars,2014,"Drama, Romance",69
Me and Earl and the Dying Girl,2015,"Comedy, Drama",74
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",87
La vie d'Adèle,2013,"Drama, Romance",89
Kai po che!,2013,"Drama, Sport",40
The Broken Circle Breakdown,2012,"Drama, Music, Romance",70
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",70
Rockstar,2011,"Drama, Music, Musical",
Nebraska,2013,"Adventure, Comedy, Drama",87
Wreck-It Ralph,2012,"Animation, Adventure, Comedy",72
Le Petit Prince,2015,"Animation, Adventure, Drama",70
Detachment,2011,Drama,52
Midnight in Paris,2011,"Comedy, Fantasy, Romance",81
The Lego Movie,2014,"Animation, Action, Adventure",83
Gravity,2013,"Drama, Sci-Fi, Thriller",96
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",72
Beasts of No Nation,2015,"Drama, War",79
The Social Network,2010,"Biography, Drama",95
X: First Class,2011,"Action, Adventure, Sci-Fi",65
The Hangover,2009,Comedy,73
Skyfall,2012,"Action, Adventure, Thriller",81
Silver Linings Playbook,2012,"Comedy, Drama, Romance",81
Argo,2012,"Biography, Drama, Thriller",86
(500) Days of Summer,2009,"Comedy, Drama, Romance",76
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",65
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",86
Frost/Nixon,2008,"Biography, Drama, History",80
Papurika,2006,"Animation, Drama, Fantasy",81
Changeling,2008,"Biography, Crime, Drama",63
Flipped,2010,"Comedy, Drama, Romance",45
Toki o kakeru shôjo,2006,"Animation, Adventure, Comedy",
Death Note: Desu nôto,2006,"Crime, Drama, Fantasy",
This Is England,2006,"Crime, Drama",86
Ex Machina,2014,"Drama, Sci-Fi, Thriller",78
Efter brylluppet,2006,Drama,78
The Last King of Scotland,2006,"Biography, Drama, History",74
Zodiac,2007,"Crime, Drama, Mystery",78
Lucky Number Slevin,2006,"Action, Crime, Drama",53
Joyeux Noël,2005,"Drama, History, Music",70
Control,2007,"Biography, Drama, Music",78
Tangled,2010,"Animation, Adventure, Comedy",71
Zwartboek,2006,"Drama, Thriller, War",71
Brokeback Mountain,2005,"Drama, Romance",87
3:10 to Yuma,2007,"Action, Crime, Drama",76
Crash,2004,"Crime, Drama, Thriller",66
Kung fu,2004,"Action, Comedy, Fantasy",78
The Bourne Supremacy,2004,"Action, Mystery, Thriller",73
The Machinist,2004,"Drama, Thriller",61
Ray,2004,"Biography, Drama, Music",73
Lost in Translation,2003,"Comedy, Drama",89
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",81
Man on Fire,2004,"Action, Crime, Drama",47
Coraline,2009,"Animation, Drama, Family",80
The Last Samurai,2003,"Action, Drama",55
The Magdalene Sisters,2002,Drama,83
Good Bye Lenin!,2003,"Comedy, Drama, Romance",68
In America,2002,Drama,76
I Am Sam,2001,Drama,28
Adaptation.,2002,"Comedy, Drama",83
Black Hawk Down,2001,"Drama, History, War",74
Road to Perdition,2002,"Crime, Drama, Thriller",72
Das Experiment,2001,"Drama, Thriller",60
Billy Elliot,2000,"Drama, Music",74
Hedwig and the Angry Inch,2001,"Comedy, Drama, Music",85
Ocean's Eleven,2001,"Crime, Thriller",74
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",62
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",69
Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama",
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",73
Office Space,1999,Comedy,68
Happiness,1998,"Comedy, Drama",81
Training Day,2001,"Crime, Drama, Thriller",69
Rushmore,1998,"Comedy, Drama, Romance",86
Abre los ojos,1997,"Drama, Mystery, Sci-Fi",
Being John Malkovich,1999,"Comedy, Drama, Fantasy",90
As Good as It Gets,1997,"Comedy, Drama, Romance",67
The Fifth Element,1997,"Action, Adventure, Sci-Fi",52
Le dîner de cons,1998,Comedy,73
Donnie Brasco,1997,"Biography, Crime, Drama",76
Shine,1996,"Biography, Drama, Music",87
Primal Fear,1996,"Crime, Drama, Mystery",47
Hamlet,1996,Drama,
A Little Princess,1995,"Drama, Family, Fantasy",83
Do lok tin si,1995,"Comedy, Crime, Drama",71
Il postino,1994,"Biography, Comedy, Drama",81
Clerks,1994,Comedy,70
Short Cuts,1993,"Comedy, Drama",79
Philadelphia,1993,Drama,66
The Muppet Christmas Carol,1992,"Comedy, Drama, Family",64
Malcolm X,1992,"Biography, Drama, History",73
The Last of the Mohicans,1992,"Action, Adventure, Drama",76
Kurenai no buta,1992,"Animation, Adventure, Comedy",83
Glengarry Glen Ross,1992,"Crime, Drama, Mystery",82
A Few Good Men,1992,"Drama, Thriller",62
Fried Green Tomatoes,1991,Drama,64
Barton Fink,1991,"Comedy, Drama, Thriller",69
Miller's Crossing,1990,"Crime, Drama, Thriller",66
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",83
Spoorloos,1988,"Mystery, Thriller",
Withnail & I,1987,"Comedy, Drama",84
The Last Emperor,1987,"Biography, Drama, History",76
Empire of the Sun,1987,"Action, Drama, History",62
Der Name der Rose,1986,"Crime, Drama, Mystery",54
Blue Velvet,1986,"Drama, Mystery, Thriller",76
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",75
After Hours,1985,"Comedy, Crime, Drama",90
Zelig,1983,Comedy,
The Verdict,1982,Drama,77
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi",67
First Blood,1982,"Action, Adventure",61
Ordinary People,1980,Drama,86
Airplane!,1980,Comedy,78
Rupan sansei: Kariosutoro no shiro,1979,"Animation, Adventure, Family",71
Halloween,1978,"Horror, Thriller",87
Le locataire,1976,"Drama, Thriller",71
Love and Death,1975,"Comedy, War",89
The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",68
Blazing Saddles,1974,"Comedy, Western",73
Serpico,1973,"Biography, Crime, Drama",87
Enter the Dragon,1973,"Action, Crime, Drama",83
Deliverance,1972,"Adventure, Drama, Thriller",80
The French Connection,1971,"Action, Crime, Drama",94
Dirty Harry,1971,"Action, Crime, Thriller",90
Where Eagles Dare,1968,"Action, Adventure, War",63
The Odd Couple,1968,Comedy,86
The Dirty Dozen,1967,"Action, Adventure, War",73
Belle de jour,1967,"Drama, Romance",
A Man for All Seasons,1966,"Biography, Drama, History",72
Repulsion,1965,"Drama, Horror, Thriller",91
Zulu,1964,"Drama, History, War",77
Goldfinger,1964,"Action, Adventure, Thriller",87
The Birds,1963,"Drama, Horror, Mystery",90
Cape Fear,1962,"Drama, Thriller",76
Peeping Tom,1960,"Drama, Horror, Thriller",
The Magnificent Seven,1960,"Action, Adventure, Western",74
Les yeux sans visage,1960,"Drama, Horror",90
Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",92
Rebel Without a Cause,1955,Drama,89
The Ladykillers,1955,"Comedy, Crime",91
Sabrina,1954,"Comedy, Drama, Romance",72
The Quiet Man,1952,"Comedy, Drama, Romance",
The Day the Earth Stood Still,1951,"Drama, Sci-Fi",
The African Queen,1951,"Adventure, Drama, Romance",91
Gilda,1946,"Drama, Film-Noir, Romance",
Fantasia,1940,"Animation, Family, Fantasy",96
The Invisible Man,1933,"Horror, Sci-Fi",87
Dark Waters,2019,"Biography, Drama, History",73
Searching,2018,"Drama, Mystery, Thriller",71
Once Upon a Time... in Hollywood,2019,"Comedy, Drama",83
Nelyubov,2017,Drama,86
The Florida Project,2017,Drama,92
Just Mercy,2019,"Biography, Crime, Drama",68
Gifted,2017,Drama,60
The Peanut Butter Falcon,2019,"Adventure, Comedy, Drama",70
Victoria,2015,"Crime, Drama, Romance",77
Mustang,2015,Drama,83
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",67
Baby Driver,2017,"Action, Crime, Drama",86
Only the Brave,2017,"Action, Biography, Drama",72
Bridge of Spies,2015,"Drama, History, Thriller",81
Incredibles 2,2018,"Animation, Action, Adventure",80
Moana,2016,"Animation, Adventure, Comedy",81
Sicario,2015,"Action, Crime, Drama",82
Creed,2015,"Drama, Sport",82
Leviafan,2014,"Crime, Drama",92
Hell or High Water,2016,"Action, Crime, Drama",88
Philomena,2013,"Biography, Comedy, Drama",77
Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",79
El cuerpo,2012,"Mystery, Thriller",
Serbuan maut,2011,"Action, Thriller",73
End of Watch,2012,"Action, Crime, Drama",68
Kari-gurashi no Arietti,2010,"Animation, Adventure, Family",80
A Star Is Born,2018,"Drama, Music, Romance",88
True Grit,2010,"Drama, Western",80
Hævnen,2010,"Drama, Romance",65
Despicable Me,2010,"Animation, Comedy, Crime",72
50/50,2011,"Comedy, Drama, Romance",72
Kick-Ass,2010,"Action, Comedy, Crime",66
Celda 211,2009,"Action, Adventure, Crime",
Moneyball,2011,"Biography, Drama, Sport",87
La piel que habito,2011,"Drama, Horror, Thriller",70
Zombieland,2009,"Adventure, Comedy, Fantasy",73
Die Welle,2008,"Drama, Thriller",
Sherlock Holmes,2009,"Action, Adventure, Mystery",57
The Blind Side,2009,"Biography, Drama, Sport",53
The Visitor,2007,Drama,79
Seven Pounds,2008,Drama,36
Eastern Promises,2007,"Action, Crime, Drama",82
Stardust,2007,"Adventure, Family, Fantasy",66
The Secret of Kells,2009,"Animation, Adventure, Family",81
Inside Man,2006,"Crime, Drama, Mystery",76
Gone Baby Gone,2007,"Crime, Drama, Mystery",72
La Vie En Rose,2007,"Biography, Drama, Music",66
Huo Yuan Jia,2006,"Action, Biography, Drama",70
The Illusionist,2006,"Drama, Fantasy, Mystery",68
Dead Man's Shoes,2004,"Crime, Drama, Thriller",52
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",78
300,2006,"Action, Drama",52
Match Point,2005,"Drama, Romance, Thriller",72
Watchmen,2009,"Action, Drama, Mystery",56
Lord of War,2005,"Action, Crime, Drama",62
Saw,2004,"Horror, Mystery, Thriller",46
"Synecdoche, New York",2008,Drama,67
Mysterious Skin,2004,Drama,73
Jeux d'enfants,2003,"Comedy, Drama, Romance",45
Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance",76
The Station Agent,2003,"Comedy, Drama",81
21 Grams,2003,"Crime, Drama, Thriller",70
Boksuneun naui geot,2002,"Crime, Drama, Thriller",56
Finding Neverland,2004,"Biography, Drama, Family",67
25th Hour,2002,Drama,68
The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",30
28 Days Later...,2002,"Drama, Horror, Sci-Fi",73
Batoru rowaiaru,2000,"Action, Adventure, Drama",81
The Royal Tenenbaums,2001,"Comedy, Drama",76
Y tu mamá también,2001,Drama,88
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",64
The Others,2001,"Horror, Mystery, Thriller",74
Blow,2001,"Biography, Crime, Drama",52
Enemy at the Gates,2001,"Drama, History, War",53
Minority Report,2002,"Action, Crime, Mystery",80
The Hurricane,1999,"Biography, Drama, Sport",74
American Psycho,2000,"Comedy, Crime, Drama",64
Lola rennt,1998,"Crime, Drama, Thriller",77
The Thin Red Line,1998,"Drama, War",78
Mulan,1998,"Animation, Adventure, Family",71
Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama",41
Funny Games,1997,"Crime, Drama, Thriller",69
Dark City,1998,"Mystery, Sci-Fi, Thriller",66
Sleepers,1996,"Crime, Drama, Thriller",49
Lost Highway,1997,"Mystery, Thriller",52
Sense and Sensibility,1995,"Drama, Romance",84
Die Hard: With a Vengeance,1995,"Action, Adventure, Thriller",58
Dead Man,1995,"Adventure, Drama, Fantasy",62
The Bridges of Madison County,1995,"Drama, Romance",69
Apollo 13,PG,"Adventure, Drama, History",77
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",88
Falling Down,1993,"Action, Crime, Drama",56
Dazed and Confused,1993,Comedy,78
My Cousin Vinny,1992,"Comedy, Crime",68
Omohide poro poro,1991,"Animation, Drama, Romance",90
Delicatessen,1991,"Comedy, Crime",66
Home Alone,1990,"Comedy, Family",63
The Godfather: Part III,1990,"Crime, Drama",60
When Harry Met Sally...,1989,"Comedy, Drama, Romance",76
The Little Mermaid,1989,"Animation, Family, Fantasy",88
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",76
"Planes, Trains & Automobiles",1987,"Comedy, Drama",72
Lethal Weapon,1987,"Action, Crime, Thriller",68
Blood Simple,1984,"Crime, Drama, Thriller",82
On Golden Pond,1981,Drama,68
Mad Max 2,1981,"Action, Adventure, Sci-Fi",77
The Warriors,1979,"Action, Crime, Thriller",65
The Muppet Movie,1979,"Adventure, Comedy, Family",74
Escape from Alcatraz,1979,"Action, Biography, Crime",76
Watership Down,1978,"Animation, Adventure, Drama",64
Midnight Express,1978,"Biography, Crime, Drama",59
Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",90
The Long Goodbye,1973,"Comedy, Crime, Drama",87
Giù la testa,1971,"Drama, War, Western",77
Kelly's Heroes,1970,"Adventure, Comedy, War",50
The Jungle Book,1967,"Animation, Adventure, Family",65
Blowup,1966,"Drama, Mystery, Thriller",82
A Hard Day's Night,1964,"Comedy, Music, Musical",96
Breakfast at Tiffany's,1961,"Comedy, Drama, Romance",76
Giant,1956,"Drama, Western",84
From Here to Eternity,1953,"Drama, Romance, War",85
Lifeboat,1944,"Drama, War",78
The 39 Steps,1935,"Crime, Mystery, Thriller",93
